date,close,open,high,low,vol,pct_change,return,log_return,volatility_20d
2015-01-19,8550.7,8550.05,8570.95,8531.5,129.35,0.43,,,
2015-01-20,8695.6,8575.1,8707.9,8574.5,158.71,1.69,0.01694598103079281,0.01680399965846449,
2015-01-21,8729.5,8719.65,8741.85,8689.6,191.65,0.39,0.003898523391140385,0.0038909438418050723,
2015-01-22,8761.4,8745.85,8774.15,8727.0,180.91,0.37,0.003654275731714174,0.0036476150877737317,
2015-01-23,8835.6,8827.95,8866.4,8795.4,197.12,0.85,0.008468966146962797,0.00843330565006859,
2015-01-27,8910.5,8871.35,8925.05,8825.45,192.01,0.85,0.008477070034858869,0.008441341450482422,
2015-01-28,8914.3,8902.75,8985.05,8874.05,190.81,0.04,0.00042646316143857277,0.00042637225187001037,
2015-01-29,8952.35,8901.5,8966.65,8861.25,264.25,0.43,0.004268422646758641,0.004259338770853641,
2015-01-30,8808.9,8996.6,8996.6,8775.1,275.59,-1.6,-0.01602372561394505,-0.016153493616853636,
2015-02-02,8797.4,8802.5,8840.8,8751.1,216.56,-0.13,-0.0013054978487665458,-0.0013063507534741001,
2015-02-03,8756.55,8823.15,8837.3,8726.65,208.67,-0.46,-0.004643417373314862,-0.004654231525165908,
2015-02-04,8723.7,8789.15,8792.85,8704.4,201.25,-0.38,-0.003751477465440023,-0.0037585319056024297,
2015-02-05,8711.7,8733.1,8838.45,8683.65,179.01,-0.14,-0.001375563121152723,-0.0013765100766004728,
2015-02-06,8661.05,8696.85,8726.2,8645.55,176.55,-0.58,-0.005814020225673677,-0.005830987438373654,
2015-02-09,8526.35,8584.4,8605.55,8516.35,151.33,-1.56,-0.015552386835314347,-0.01567459393409736,
2015-02-10,8565.55,8478.1,8646.25,8470.5,202.3,0.46,0.004597512417388261,0.004586976138613567,
2015-02-11,8627.4,8603.3,8651.95,8593.65,166.56,0.72,0.007220785588782919,0.007194840537426239,
2015-02-12,8711.55,8676.95,8732.55,8599.25,163.68,0.98,0.009753807636136091,0.00970654632442759,
2015-02-13,8805.5,8741.5,8822.1,8729.65,228.81,1.08,0.010784533177218725,0.010726794848962074,
2015-02-16,8809.35,8831.4,8870.1,8793.4,140.64,0.04,0.0004372267332917179,0.0004371311775355716,
2015-02-18,8869.1,8811.55,8894.3,8808.9,152.15,0.68,0.006782566250631339,0.006759668128535262,0.13194788497195561
2015-02-19,8895.3,8883.05,8913.45,8794.45,219.87,0.3,0.002954076512836634,0.002949721802804654,0.11968700973676595
2015-02-20,8833.6,8895.5,8899.95,8816.3,203.72,-0.69,-0.006936247231684067,-0.0069604148142353005,0.12253755017396142
2015-02-23,8754.95,8856.85,8869.0,8736.1,143.93,-0.89,-0.008903504799855022,-0.008943377848408795,0.12646208162115521
2015-02-24,8762.1,8772.9,8800.5,8726.75,154.37,0.08,0.0008166808491196775,0.0008163475467704371,0.12252468108474052
2015-02-25,8767.25,8801.9,8840.65,8751.4,139.41,0.06,0.0005877586423346237,0.0005875859798763928,0.11808418801327437
2015-02-26,8683.85,8779.0,8786.05,8669.45,224.18,-0.95,-0.009512675012118943,-0.009558209505033739,0.12195261285725052
2015-02-27,8844.6,8729.5,8856.95,8717.45,257.23,1.85,0.018511374563125793,0.018342124578303188,0.13946930022265422
2015-02-28,8901.85,8913.05,8941.1,8751.35,246.45,0.65,0.006472876105194203,0.006452017006512306,0.12871346609065892
2015-03-02,8956.75,8953.85,8972.35,8885.45,224.77,0.62,0.006167257367850398,0.006148317666913585,0.13002022332709168
2015-03-03,8996.25,8962.85,9008.4,8925.55,183.25,0.44,0.004410081781896391,0.00440038586730066,0.12885970086286921
2015-03-04,8922.65,9109.15,9119.2,8893.95,256.06,-0.82,-0.008181186605530133,-0.00821483616723559,0.13213232796043037
2015-03-05,8937.75,8929.4,8957.55,8849.35,165.08,0.17,0.0016923223481812855,0.0016908919842467322,0.13180957239368868
2015-03-09,8756.75,8891.15,8891.3,8740.45,160.33,-2.03,-0.02025118178512486,-0.02045904811401918,0.1510943679861773
2015-03-10,8712.05,8769.75,8778.0,8677.35,168.92,-0.51,-0.005104633568390193,-0.005117706718394268,0.140322655337787
2015-03-11,8699.95,8728.75,8755.6,8682.35,178.05,-0.14,-0.0013888809178090877,-0.0013898463068881953,0.13994324967352675
2015-03-12,8776.0,8740.65,8787.2,8732.9,179.34,0.87,0.00874142954844559,0.008703444455342574,0.14095942195876662
2015-03-13,8647.75,8844.05,8849.75,8631.75,184.67,-1.46,-0.014613719234275346,-0.014721551472009752,0.14714605938143122
2015-03-16,8633.15,8656.75,8663.55,8612.0,168.44,-0.17,-0.0016883004249660383,-0.0016897272102494485,0.1412105803507854
2015-03-17,8723.3,8689.1,8742.55,8630.8,182.5,1.04,0.010442306689910419,0.010388162406696348,0.14684820449247823
2015-03-18,8685.9,8742.9,8747.25,8664.0,161.15,-0.43,-0.004287368312450468,-0.004296585430193531,0.14483852509651113
2015-03-19,8634.65,8749.45,8788.2,8614.65,168.63,-0.59,-0.005900367261884254,-0.005917843205695482,0.14501605104707616
